Scheme Name,Net Asset Value
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1024.7365
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1033.2211
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1019.5699
 
UTI Mutual Fund
 
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.1444
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,16.4112
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,19.0445
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.6375
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.6594
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,14.1746
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,12.0041
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.628
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.5753
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.5374
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.9227
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.8309
 
Open Ended Schemes(Debt Scheme - Corporate Bond Fund)
 
Aditya Birla Sun Life Mutual Fund
 
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,96.7421
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,95.4927
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,11.0191
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.5086
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.424
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.3706
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763
 
Axis Mutual Fund
 
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.2384
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,12.8853
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3641
Axis Corporate Debt Fund - Direct Plan Growth,15.1831
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.2318
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,12.2604
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.2461
Axis Corporate Debt Fund - Regular Plan Growth,14.5327
 
Bandhan Mutual Fund
 
BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.2608
BANDHAN Corporate Bond Fund - Direct Growth,16.7779
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.4642
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.3689
BANDHAN Corporate Bond Fund - Direct Periodic IDCW,11.1311
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.4723
BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.2535
BANDHAN Corporate Bond Fund - Regular Growth,16.4027
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,10.8738
BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6216
BANDHAN Corporate Bond Fund - Regular Periodic IDCW,11.0576
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.5150
 
Baroda BNP Paribas Mutual Fund
 
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.4728
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,27.0685
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.2107
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.2543
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,10.6366
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,24.6759
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.2878
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.4411
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.4100
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,23.3894
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.2426
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.3316
 
Canara Robeco Mutual Fund
 
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.9040
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.3578
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.8335
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.6922
 
DSP Mutual Fund
 
DSP Corporate Bond Fund - Direct - Growth,13.8779
DSP Corporate Bond Fund - Direct - IDCW,11.3316
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4686
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.3257
DSP Corporate Bond Fund - Regular - Growth,13.7150
DSP Corporate Bond Fund - Regular - IDCW,11.3084
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4497
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.6835
 
Franklin Templeton Mutual Fund
 
Franklin India Corporate Debt Fund - Direct - Bonus,0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH,90.4118
Franklin India Corporate Debt Fund - Growth,84.4685
Franklin India Corporate Debt Fund - Monthly Bonus,0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.3415
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.2720
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.6493
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.5878
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6529
